id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,media_type
591273,Fear Street: 1994,6.723,2021,Released,2021-06-28,0,107,False,/5C8bfwglg91uZhc2fbfpSjNGamV.jpg,0,https://www.netflix.com/title/81325689,tt6566576,en,Fear Street: 1994,"After a series of brutal slayings, a teen and her friends take on an evil force that's plagued their notorious town for centuries.",26.06,/9J9Wy39ZjrVmfk7yMkulpcI5sy0.jpg,Face the evil.,"Mystery, Horror",Chernin Entertainment,United States of America,English,"witch, based on novel or book, shopping mall, murder, curse, drugs, witchcraft, lgbt, 1990s",movie
511987,Crawl,6.312,2858,Released,2019-07-11,91542097,88,False,/lm4xH0YwFbVvTgdtau1thNK5S6J.jpg,13500000,http://crawlmovie.com,tt8364368,en,Crawl,"When a huge hurricane hits her hometown in Florida, Haley ignores evacuation orders to look for her father. After finding him badly wounded, both are trapped by the flood. With virtually no time to escape the storm, they discover that rising water levels are the least of their problems.",32.163,/mKxpYRIrCZLxZjNqpocJ2RdQW8v.jpg,They were here first,"Thriller, Horror, Action","Raimi Productions, Fire Axe Pictures, Serbia Creates Film, Ontario Creates","Canada, Serbia, United States of America",English,"florida, hurricane, animal attack, alligator, creature, flood, animal horror, crawlspace, father daughter relationship",movie
3035,Frankenstein,7.5,1385,Released,1931-11-21,12000000,70,False,/tyGLg0Tw7xZPgnuR2ctjCNgbjlF.jpg,291000,,tt0021884,en,Frankenstein,"Dr. Henry Frankenstein attempts to create life by assembling a creature from body parts of the deceased. Aided by his loyal misshapen assistant, Fritz, Frankenstein succeeds in animating his monster, but, confused and traumatized, it escapes into the countryside and begins to wreak havoc. Frankenstein searches for the elusive being and eventually must confront his tormented creation.",25.884,/mu6wHwH0IwCCaEYtpqujuPJYat1.jpg,THE MAN WHO MADE A MONSTER,"Drama, Horror, Science Fiction",Universal Pictures,United States of America,English,"fire, monster, experiment, based on novel or book, reanimation, laboratory, mad doctor, black and white, pre-code, body part, angry mob, woman in peril, villager, human monster, frankenstein",movie
550,Fight Club,8.438,27238,Released,1999-10-15,100853753,139,False,/hZkgoQYus5vegHoetLkCJzb17zJ.jpg,63000000,http://www.foxmovies.com/movies/fight-club,tt0137523,en,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",69.498,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,Mischief. Mayhem. Soap.,Drama,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox",United States of America,English,"dual identity, rage and hate, based on novel or book, nihilism, fight, support group, dystopia, insomnia, alter ego, breaking the fourth wall, split personality, quitting a job, dissociative identity disorder, self destructiveness",movie
295964,Burnt,6.513,3140,Released,2015-10-02,36606743,100,False,/m9nw0xMkeAQ3oIxABYK9mstOQ8.jpg,20000000,http://burntmovie.com/,tt2503944,en,Burnt,"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",15.909,/ab4zZPuCqtDl5o71uYOAk37xGvK.jpg,Never underestimate a man with everything to lose.,Drama,"PeaPie Films, Double Feature Films, The Weinstein Company, Entertainment One, 3 Arts Entertainment",United States of America,"French, English","career, london, england, drug addiction, diva, restaurant, redemption, drugs, chef, french cuisine, come back, fine dining",movie
118340,Guardians of the Galaxy,7.906,26638,Released,2014-07-30,772776600,121,False,/uLtVbjvS1O7gXL8lUOwsFOH4man.jpg,170000000,http://marvel.com/guardians,tt2015381,en,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",33.255,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,All heroes start somewhere.,"Action, Science Fiction, Adventure",Marvel Studios,United States of America,English,"spacecraft, based on comic, space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",movie
830788,The Invitation,6.242,621,Released,2022-08-24,33628000,105,False,/yo0qfH2dQGGMxkfivdkz5zxVatD.jpg,10000000,https://www.theinvitation.movie,tt12873562,en,The Invitation,"After the death of her mother, Evie is approached by an unknown cousin who invites her to a lavish wedding in the English countryside. Soon, she realizes a gothic conspiracy is afoot and must fight for survival as she uncovers twisted secrets in her family’s history.",29.604,/jcTq6gIskCsHlKDvCKKouEfiU66.jpg,You are cordially invited to a nightmare generations in the making.,"Horror, Thriller","Screen Gems, Mid Atlantic Films, TSG Entertainment",United States of America,English,"suicide, vampire, marriage, mansion, english countryside, caterer, drinking blood, ceramics, dracula",movie
364433,They Call Me Jeeg,7.442,2394,Released,2016-02-25,0,112,False,/dLhBHSv5v2wKuZQ3sumthfLplHU.jpg,1900000,,tt3775086,it,Lo chiamavano Jeeg Robot,"After coming in contact with radioactive waste, small-time crook Enzo Ceccotti gains super-strength. A misanthropic, introverted brute, he uses his new powers for personal gain until he meets Alessia, a mentally ill girl who believes Enzo is the hero from her favorite anime Steel Jeeg.",12.023,/zvJPbyWflWHbHMHSdue1n4N69tC.jpg,A superhero like no other,"Crime, Drama, Action, Science Fiction","Goon Films, RAI Cinema",Italy,Italian,"rome, italy, anti hero, camorra, criminal underworld, superhero spoof, terrorist plot, terrorist bombing, masked superhero, township superhero, small time crook, eaten by animal, burned face, mentally handicapped, radioactive waste",movie
228967,The Interview,6.185,5370,Released,2014-12-25,12342632,113,False,/3YKGMZQ0pwQXSBSASeKlfPlkso7.jpg,44000000,https://www.sonypictures.com/movies/theinterview,tt2788710,en,The Interview,"Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.",54.384,/tIDC4xT65l7a8qbgg8GvwD5g8c5.jpg,The Film Hackers Tried To Get Banned,"Action, Comedy","Point Grey Pictures, Columbia Pictures",United States of America,"Korean, English","cia, socialism, coup d'etat, assassination attempt, evil dictator, north korea",movie
468198,The Place,7.114,1137,Released,2017-11-04,0,105,False,/gqeXM1H8hR9CX3kKWRMOxxbIstJ.jpg,0,,tt7063210,it,The Place,"In a coffee shop, nine seemingly unrelated strangers meet with a mysterious man who seems to have the power to grant all their wishes, in return for which they must carry out any task he decides to assign them.",10.253,/doGGzqZOJ7VZWVZdstRAs0i3de1.jpg,,"Drama, Thriller, Mystery","Medusa Film, Lotus Production, Sky Cinema",Italy,Italian,"mysterious man, set in one room, ensemble cast",movie
